min(,FileList,p_ttest,,min(p-value),max(p-value),,#N/A
1,101S.PeroxideEffectonLOH.Jan252011.csv,0.011673862,,0.000522906,0.186019868,,
2,101S.PeroxideEffectonLOH.Jan272011.csv,0.009592066,,,,,
3,"BY4743,20120530,H2O2LOH.csv",0.027367143,,,,,
4,"BY4743,20120907,H2O2LOH.csv",0.022757894,,,,,
5,"ctt1,20121016,H2O2LOH.csv",0.026767418,,,,,
6,"ctt1,20121026,H2O2LOH.csv",0.013960069,,,,,
7,"M1-2,20110422.H2O2onLOH.csv",0.034535014,,,,,
8,"M1-2,20111207.modified.csv",0.075221226,,,,,
9,"M1-2,20120502,H2O2LOH.csv",0.041688953,,,,,
10,"M13,08242011.H2O2.LOH.csv",0.017859937,,,,,
11,"M13,Dec2,2011.modified.csv",0.065990296,,,,,
12,"M13,May18.2011.M13.H2O2.LOH.csv",0.039703167,,,,,
13,"M2-8,06062011.H2O2onLOH.csv",0.026112097,,,,,
14,"M2-8,08172011.H2O2.LOH.modified.csv",0.019655286,,,,,
15,"M2-8,Dec19 2011.csv",0.005264777,,,,,
16,"M32,08102011.H2O2onLOH.csv",0.021100714,,,,,
17,"M32,Jan10,2012,OneandHalfHour.modified.csv",0.102930224,,,,,
18,"M32,Jan10,2012,Three Hours.corrected.csv",0.028754762,,,,,
19,"M32,Jan4,2012.csv",0.0137207,,,,,
20,"M32,May25,2011.H202LOHcorrected.csv",0.018988033,,,,,
21,"M34,042011.H2O2onLOH.csv",0.008978067,,,,,
22,M34.08232011.H2O2.LOH.csv,0.000522906,,,,,
23,"M5,08162011.H2O2.LOH.csv",0.033804158,,,,,
24,"M5,H202.022511.csv",0.104708782,,,,,
25,"M8,Dec15 2011.csv",0.041697469,,,,,
26,"M8,Feb8,2011.H2O2effectonLOHmodified.csv",0.012323754,,,,,
27,"M8,Mar302011.Effectof H2O2onLOH.csv",0.005226303,,,,,
28,"SGU57,Jan12,2012.modified.csv",0.125048731,,,,,
29,"SGU57,Jan13,2012.modified.csv",0.186019868,,,,,
30,"SGU57,Jan6,2012.csv",0.033455455,,,,,
31,"SOD2,20120914,H2O2LOH.csv",0.082648546,,,,,
32,"sod2,20120918,H2O2LOH.csv",0.050055548,,,,,
33,"YPS128,042911,H2O2LOH.modified.csv",0.043343786,,,,,
34,"YPS128,20110825,H2O2LOH.csv",0.021417209,,,,,
35,"YPS128,DEC9,2011.csv",0.139116712,,,,,
36,"YPS128,H2O2LOH_Nov14,2011.modified.csv",0.169492608,,,,,
37,"YPS163,20120503,YPS163-H2O2LOH.csv",0.007823774,,,,,
38,"YPS163,Apr082011.H2O2onLOH.modifed.csv",0.022523943,,,,,
39,"YPS163,Apr13,2011.H2O2.LOH.csv",0.003467499,,,,,
